strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	author
hCoV-19/Nigeria/LA-CV263/2020	EPI_ISL_729947		Nigeria Centre for Disease Control (NCDC)	African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria	Oluniyi P.E. et al A
hCoV-19/Scotland/CVR3079/2020	EPI_ISL_461663		West of Scotland Specialist Virology Centre, NHSGGC / MRC-University of Glasgow Centre for Virus Research	COVID-19 Genomics UK (COG-UK) Consortium	Ana da Silva Filipe et al
hCoV-19/SouthAfrica/NHLS-UCT-GS-0058/2020	EPI_ISL_640041	OM725346.1	Green Point CDC wc GPH	NHLS/UCT	Arash Iranzadeh et al
hCoV-19/England/20099070104/2020	EPI_ISL_464217		Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	PHE Covid Sequencing Team et al
hCoV-19/Wuhan/WIV05/2019	EPI_ISL_402128	MN996529.1	Wuhan Jinyintan Hospital	Wuhan Institute of Virology, Chinese Academy of Sciences	Peng Zhou et al
hCoV-19/USA/CA-CDC-03039595-001/2020	EPI_ISL_408009	MT027063.1	California Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen et al A (https://dx.doi.org/10.1101/2020.03.09.20032896)
hCoV-19/Shanghai/SH0008/2020	EPI_ISL_416321		Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
hCoV-19/Sichuan/SC-NJ-095/2020	EPI_ISL_451344		West China Hospital of Sichuan University	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al
hCoV-19/Wuhan/HB-WHCM2-280/2020	EPI_ISL_455012		Wuhan Chain Medical Labs (CMLabs)	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al
hCoV-19/Hunan/HN-CIDC-P10/2020	EPI_ISL_539338		Institute of Disease Control and Prevention, People's Liberation Army	Institute of Disease Control and Prevention, People's Liberation Army	Qiu et al
hCoV-19/Hangzhou/HZCDC0119/2020	EPI_ISL_421226		Hangzhou Center for Diseases Control and Prevention	Hangzhou Center for Diseases Control and Prevention	Jun Li et al
hCoV-19/Wuhan/HB-WH4-194/2020	EPI_ISL_454948		Wuhan Chain Medical Labs (CMLabs)	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al
hCoV-19/Wuhan/HB-WH2-161/2020	EPI_ISL_454929		Wuhan Chain Medical Labs (CMLabs)	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al
hCoV-19/Wuhan/IME-WH03/2019	EPI_ISL_529215	MT291828.1	Beijing Institute of Microbiology and Epidemiology	Beijing Institute of Microbiology and Epidemiology	Fan et al
hCoV-19/Wuhan/IVDC-HB-GX02/2019	EPI_ISL_434534		National Institute for Viral Disease Control and Prevention, China CDC	National Institute for Viral Disease Control and Prevention, China CDC, Yunnan Provincial CDC	Wenjie Tan et al
hCoV-19/Wuhan/HBCDC-HB-02/2019	EPI_ISL_412898		Wuhan Jinyintan Hospital	Hubei Provincial Center for Disease Control and Prevention	Bin Fang et al (https://dx.doi.org/10.1101/2020.03.04.976662)
hCoV-19/India/MH-1-27/2020	EPI_ISL_413522		Indian Council of Medical Research - National Institute of Virology	National Influenza Center, Indian Council of Medical Research - National Institute of Virology	Potdar et al A (https://dx.doi.org/10.4103/ijmr.IJMR_663_20)
hCoV-19/Wuhan/0125-A152/2020	EPI_ISL_493153		National Virus Resource Center, Chinese Academy of Sciences, Wuhan 430071, China	Computational Virology Group, Center for Bacteria and Viruses Resources and Bioinformation, Wuhan Institute of Virology, Chinese Academy of Sciences，Wuhan 430071, China	Jianjun Chen et al
hCoV-19/Wuhan/HB-WH3-177/2020	EPI_ISL_455377		Wuhan Chain Medical Labs (CMLabs)	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al
hCoV-19/UnitedArabEmirates/skmc-2200543104/2020	EPI_ISL_582621		Sheikh Khalifa Medical City	Molecular/Surveillance lab Sheikh Khalifa Medical City	Amirtharaj Francis et al
hCoV-19/Pakistan/KHI1/2020	EPI_ISL_451958	MT500122.1	Jamil-ur-Rahman Center for Genome Research, Dr. Panjwani Center for Molecular Medicine and Drug Research, International Center for Chemical and Biological Sciences, University of Karachi	Jamil-ur-Rahman Center for Genome Research, Dr. Panjwani Center for Molecular Medicine and Drug Research, International Center for Chemical and Biological Sciences, University of Karachi	Shakeel et al
hCoV-19/Guangdong/GDSZ202008-P0020/2020	EPI_ISL_413866		Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Guangdong Provincial Institution of Public Health	Jing Lu et al (https://dx.doi.org/10.1016/j.cell.2020.04.023)
hCoV-19/India/MP-DRDE115/2020	EPI_ISL_476023		Defence Research & Development Establishment (DRDE)	Defence Research & Development Establishment (DRDE)	Shashi Sharma et al
hCoV-19/Indonesia/JK-EIJK19/2020	EPI_ISL_574607		RS Husada	Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation	Frilasita A Yudhaputri et al
hCoV-19/Indonesia/JI-ITD-853Sp/2020	EPI_ISL_437187		Siloam Hospitals	Institute of Tropical Disease, Universitas Airlangga	Kazufumi Shimizu et al
hCoV-19/Indonesia/JI-ITD-150Sp/2020	EPI_ISL_529962		Universitas Airlangga Hospital	Institute of Tropical Disease, Universitas Airlangga	Jezzy R Dewantari et al
hCoV-19/BurkinaFaso/CHUSS_6944/2021	EPI_ISL_7459553		Laboratoire de Microbiologie CHU Souro Sanou	Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch Institut	Yacouba Sawadogo et al
hCoV-19/Indonesia/JK-NIHRD-C0023408/2020	EPI_ISL_833130		National Institute of Health Research and Development	National Institute of Health Research and Development	Agustiningsih et al
hCoV-19/Pakistan/Gilgit1/2020	EPI_ISL_417444	MT240479.1	Department of Healthcare Biotechnology, National University of Sciences and Technology (NUST)	Department of Healthcare Biotechnology, National University of Sciences and Technology (NUST)	Javed et al (http://biorxiv.org/lookup/doi/10.1101/2020.04.01.019463)
hCoV-19/Bahrain/BAH-26/2020	EPI_ISL_483640		Kingdom of Bahrein Ministry of Health	Erasmus Medical Center	Bas Oude Munnink et al
hCoV-19/Iran/GRC-11/2020	EPI_ISL_2694592		Virology Centre, School of public health, Tehran University of Medical Sciences, Tehran, Iran	Genetics Research Center, University of Social Welfare and Rehabilitation Sciences	Zohreh Fattahi et al
hCoV-19/Iran/Cento-37431805/2020	EPI_ISL_815256		Centogene	Centogene	Peter Bauer et al
hCoV-19/Iran/E22542/2020	EPI_ISL_15754993		Urmia University of Medical Sciences	COVID-19 National Reference Laboratory, Pasteur Institute of Iran	Ali Maleki et al
hCoV-19/Iran/2589/2020	EPI_ISL_15754885		Isfahan University of Medical Sciences	COVID-19 National Reference Laboratory, Pasteur Institute of Iran	Zahra Ahmadi et al
hCoV-19/India/LA-NCDC-01444/2020	EPI_ISL_435102		National Centre for Disease control (NCDC), CSIR-Institute of Genomics and Integrative Biology (CSIR-IGIB)	NCDC/CSIR-IGIB	Pramod Kumar et al (https://dx.doi.org/10.1101/2020.06.04.128751)
hCoV-19/SriLanka/CDR503/2020	EPI_ISL_525479		Centre for Dengue Research	Centre for Dengue Research	Chandima Jeewandara et al
hCoV-19/Turkey/IST-GLAB-114/2020	EPI_ISL_480246		Genomic Laboratory (GLAB) (Conjoint lab of Health Directorate of Istanbul and Istanbul Technical University)	Genomic Laboratory (GLAB), Istanbul Technical University	Ilker Karacan et al
hCoV-19/Iran/10887/2020	EPI_ISL_15754932		Isfahan University of Medical Sciences	COVID-19 National Reference Laboratory, Pasteur Institute of Iran	Mahsa Tavakoli et al
hCoV-19/Vietnam/PIHCM-869/2020	EPI_ISL_17433661		Pasteur Institute in Ho Chi Minh city Department of Microbiology and Immunology	Molecular Genetic Monitoring Group	Thang Minh Cao et al
hCoV-19/Anhui/60/2020	EPI_ISL_16138304		College of life sciences, Anhui Medical University	College of life sciences, Anhui Medical University	Cheng et al
hCoV-19/Japan/FHU-CS84-0228/2020	EPI_ISL_728208		Fujita Health University Okazaki Medical Center	Fujita health University, Department of Microbiology	Takayuki Murata et al
hCoV-19/India/OR-ILSCV16498/2020	EPI_ISL_463047		Institute of Life Sciences, Bhubaneswar	Immunogenomics lab, Institute of Life Sciences, Bhubaneswar	Sunil Raghav et al
hCoV-19/Pakistan/KP-RMI-01/2020	EPI_ISL_632908	MW242667.1	Genomic Sciences, Rehman Medical Institute	Genomic Sciences, Rehman Medical Institute	Ali et al
hCoV-19/India/UP-NCDC-02321/2020	EPI_ISL_435100		National Centre for Disease control (NCDC), CSIR-Institute of Genomics and Integrative Biology (CSIR-IGIB)	NCDC/CSIR-IGIB	Pramod Kumar et al (https://dx.doi.org/10.1101/2020.06.04.128751)
hCoV-19/India/TN-NCDC-02242/2020	EPI_ISL_435083		National Centre for Disease control (NCDC), CSIR-Institute of Genomics and Integrative Biology (CSIR-IGIB)	NCDC/CSIR-IGIB	Pramod Kumar et al (https://dx.doi.org/10.1101/2020.06.04.128751)
hCoV-19/India/MH-NIV-6423/2020	EPI_ISL_454543		NIV Influenza	NIV Influenza	Potdar et al B
hCoV-19/India/TG-CCMB-K128/2020	EPI_ISL_447579		CSIR-Centre for Cellular and Molecular Biology	CSIR-Centre for Cellular and Molecular Biology	Tulasi Nagabandi et al A (https://dx.doi.org/10.1101/2020.05.31.126136)
hCoV-19/India/UP-NCDC-02322/2020	EPI_ISL_435082		National Centre for Disease control (NCDC), CSIR-Institute of Genomics and Integrative Biology (CSIR-IGIB)	NCDC/CSIR-IGIB	Pramod Kumar et al (https://dx.doi.org/10.1101/2020.06.04.128751)
hCoV-19/India/AP-NCDC-3936/2020	EPI_ISL_436440		National Centre for Disease control (NCDC)	NCDC/CSIR-IGIB	Pramod Kumar# et al (https://dx.doi.org/10.1101/2020.06.04.128751)
hCoV-19/Philippines/PH-RITM-0065/2020	EPI_ISL_3105872		Taguig City Health Office	Research Institute for Tropical Medicine	Lei Lanna Dancel et al
hCoV-19/Philippines/PH-RITM-0066/2020	EPI_ISL_3105873		Ospital ng Makati	Research Institute for Tropical Medicine	Lei Lanna Dancel et al
hCoV-19/Philippines/PH-RITM-0068/2020	EPI_ISL_3105875		La Huerta Health Center	Research Institute for Tropical Medicine	Lei Lanna Dancel et al
hCoV-19/Philippines/PGC06/2020	EPI_ISL_434558		National Institutes of Health, University of the Philippines Manila	Philippine Genome Center	Carlo M. Lapid et al
hCoV-19/India/TG-CCMB-J165/2020	EPI_ISL_447848		CSIR-Centre for Cellular and Molecular Biology	CSIR-Centre for Cellular and Molecular Biology	Sofia Banu et al A (https://dx.doi.org/10.1101/2020.05.31.126136)
hCoV-19/India/TN-NCDC-02327/2020	EPI_ISL_435094		National Centre for Disease control (NCDC), CSIR-Institute of Genomics and Integrative Biology (CSIR-IGIB)	NCDC/CSIR-IGIB	Pramod Kumar et al (https://dx.doi.org/10.1101/2020.06.04.128751)
hCoV-19/India/MP-ICMR-NIV-INSACOG-SEQ-3717/2020	EPI_ISL_15038584		ICMR-National Institute of Virology - INSACOG	NIV Influenza	Dr. Varsha Potdar et al
hCoV-19/Malaysia/MGI-M76/2020	EPI_ISL_528742		Malaysia Genome Institute	Malaysia Genome Institute	Mohd Noor Mat Isa et al
hCoV-19/India/PB-IMT-I8/2020	EPI_ISL_539484		Civil Hospital, Rupnagar	CSIR-Institute of Microbial Technology	Kanika Bansal et al
hCoV-19/Myanmar/MMC_137/2020	EPI_ISL_512844		Department of Medical Research	DMR_Myanmar	Myat Htut Nyunt et al
hCoV-19/India/TG-CCMB-J375/2020	EPI_ISL_450330		CSIR-Centre for Cellular and Molecular Biology	CSIR-Centre for Cellular and Molecular Biology	Sakshi Shambhavi et al (https://dx.doi.org/10.1101/2020.05.31.126136)
hCoV-19/India/DL-ILBS-279M/2020	EPI_ISL_605799		Clinical Virology Laboratory, Institute of Liver and Biliary Sciences	ILBS - IGIB	Ekta Gupta et al
hCoV-19/PapuaNewGuinea/11/2020	EPI_ISL_693481		Central Public Health Laboratory	National Public Health Laboratory, National Centre for Infectious Diseases	Tze Minn Mak et al
hCoV-19/Sichuan/SC-NC-078/2020	EPI_ISL_451337		West China Hospital of Sichuan University	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al
hCoV-19/Sichuan/SC-WCH4-287/2020	EPI_ISL_451389		West China Hospital of Sichuan University	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al
hCoV-19/Wuhan/HB-WH6-246/2020	EPI_ISL_454983		Wuhan Chain Medical Labs (CMLabs)	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al
hCoV-19/China/FU-P23-2/2020	EPI_ISL_19023788		School of Life Science, Fudan University	School of Life Science, Fudan University	Lv et al
hCoV-19/India/MH-1-31/2020	EPI_ISL_413523		Indian Council of Medical Research-National Institute of Virology	National Influenza Center, Indian Council of Medical Research-National Institute of Virology	Potdar et al A (https://dx.doi.org/10.4103/ijmr.IJMR_663_20)
hCoV-19/Wuhan/IME-WH01/2019	EPI_ISL_529213	MT291826.1	Beijing Institute of Microbiology and Epidemiology	Beijing Institute of Microbiology and Epidemiology	Fan et al
hCoV-19/Yichun/JX2391/2020	EPI_ISL_455461		Jiangxi Province Center for Disease Control and Prevention	Jiangxi Province Center for Disease Control and Prevention	JianXiong Li et al
hCoV-19/England/01/2020	EPI_ISL_407071		Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al (https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507)
hCoV-19/USA/WA-S3/2020	EPI_ISL_413560	MT598634.1	Seattle Flu Study	Seattle Flu Study	Chu et al (https://doi.dx.org/10.1101/2020.04.02.20051417)
hCoV-19/USA/WA-PHL-028168/2020	EPI_ISL_15462330		WA PHL	Washington State Department of Health Public Health Laboratories	Drew MacKellar et al
hCoV-19/BurkinaFaso/CHUSS_1032/2020	EPI_ISL_19096100		Laboratoire de Microbiologie CHU Souro Sanou	Laboratoire de Virologie, Hôpital Bichat Claude Bernard	Anna-Maria Franco-Yusti et al
hCoV-19/BurkinaFaso/2-037-1654/2020	EPI_ISL_660453		Laboratoire de Microbiologie CHU Souro Sanou	Centre Muraz	Abdoul-Salam Ouedraogo et al
hCoV-19/Coted-Ivoire/BKE0382/2020	EPI_ISL_681835		Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute	Chantal Akoua-Koffi et al
hCoV-19/Zhejiang/OS2/2020	EPI_ISL_455692	MT407658.1		Department of Microbiology	Gao et al
hCoV-19/Spain/MD-IBV-99009631/2020	EPI_ISL_654340		Hospital General Universitario Gregorio Marañón	SeqCOVID-SPAIN consortium/IBV(CSIC)	Darío García de Viedma et al
hCoV-19/Kazakhstan/34391/2020	EPI_ISL_454519		"RSE ""National Center for Biotechnology"""	"RSE ""National Center for Biotechnology"""	Alexandr Shevtsov et al
hCoV-19/Panama/GMI-PAFQ020/2021	EPI_ISL_11696325		Gorgas Memorial Institute of Health Studies	Gorgas Memorial Institute of Health Studies	Claudia Gonzalez et al
hCoV-19/Panama/GMI-PACZ1588/2021	EPI_ISL_4744555		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Gonzalez Claudia et al
hCoV-19/Shandong/2020C1240116/2020	EPI_ISL_962875		Infectious Disease Control and Prevention Institute	Infectious Disease Control and Prevention Institute	Xiaolin Jiang et al
hCoV-19/Shandong/2020C1240145/2020	EPI_ISL_962576		Infectious Disease Control and Prevention Institute	Infectious Disease Control and Prevention Institute	Xiaolin Jiang et al
hCoV-19/Shangrao/JX29/2020	EPI_ISL_421244		Jiangxi Province Center for Disease Control and Prevention	Jiangxi Province Center for Disease Control and Prevention	JianXiong Li et al
hCoV-19/Thailand/SI200468-NT/2020	EPI_ISL_437620	MT447158.1		Faculty of Medicine	Rodpan et al
hCoV-19/Thailand/Bangkok-CONI-0293/2020	EPI_ISL_693366	ON878868.1	Ramathibodi Hospital	COVID-19 Network Investigations (CONI) Alliance	Elizabeth Batty et al
hCoV-19/Cambodia/Kunming_kms-2/2020	EPI_ISL_682298	MW341443.1	Respiratory virus Laboratory, Chinese Academy of Medical Science	Respiratory virus Laboratory, Chinese Academy of Medical Science	Li et al
hCoV-19/Guangdong/2020XN4291-P0038/2020	EPI_ISL_413889		Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Guangdong Provincial Institution of Public Health	Jing Lu et al (https://dx.doi.org/10.1016/j.cell.2020.04.023)
hCoV-19/Thailand/BIDI-63015581__2019/2020	EPI_ISL_12717952		Bamrasnaradura Infectious Disease Institute	Molecular HIV and Emerging Infectious Diseases Laboratory, Bamrasnaradura Infectious Diseases Institute (BIDI), Department of Disease Control (DDC), Ministry of Public Health (MOPH)	Sumonmal Uttayamakul et al
hCoV-19/Henan/fahzu0019/2020	EPI_ISL_1040040		PCR Laboratory, The First Affiliated Hospital of Zhengzhou University, Zhengzhou, Henan, China	PCR Laboratory, The First Affiliated Hospital of Zhengzhou University, Zhengzhou, Henan, China	Guanglin Cui et al
hCoV-19/Sudan/N6773/2020	EPI_ISL_4739601		National Public Health Laboratory (NPHL)	National Institute for Communicable Diseases of the National Health Laboratory Service	Elham Rizgalla et al
hCoV-19/China/FU-P182-4/2020	EPI_ISL_19023585		School of Life Science, Fudan University	School of Life Science, Fudan University	Lv et al
hCoV-19/India/OR-ILSCV25378/2020	EPI_ISL_481111		Immunogenomics lab, Institute of Life Sciences, Bhubaneswar	Immunogenomics lab, Institute of Life Sciences, Bhubaneswar	Sunil Raghav et al
hCoV-19/Mali/UCRC-31/2020	EPI_ISL_812967	MW474741.1	University Clinical Research Center, University of Sciences	University Clinical Research Center, University of Sciences	Diarra et al
hCoV-19/GuineaBissau/52LNSPGB/2020	EPI_ISL_2158598		Laboratório de Biologia Molecular Jean Piaget	MRCG at LSHTM, Genomics lab	Aladje Balde et al
hCoV-19/Nigeria/BO-CV328/2020	EPI_ISL_729997		Nigeria Centre for Disease Control (NCDC)	African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria	Oluniyi P.E. et al A
hCoV-19/Nigeria/FC-CV234/2020	EPI_ISL_729921		Nigeria Centre for Disease Control (NCDC)	African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria	Oluniyi P.E. et al A
hCoV-19/Nigeria/BO-CV326/2020	EPI_ISL_729995		Nigeria Centre for Disease Control (NCDC)	African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria	Oluniyi P.E. et al A
hCoV-19/Belgium/ITM_C2183/2020	EPI_ISL_487435		Queen Astrid Military Hospital	Institute of Tropical Medicine	Philippe Selhorst et al
hCoV-19/Togo/BMC-98-20/2020	EPI_ISL_1293351		Institut National d’Hygiène (INH)	Unité Mixte Internationale TransVIHMI (UMI 233 IRD – U1175 INSERM - Université de Montpellier)IRD (Institut de recherche pour le développement)	Mounerou SALOU et al
hCoV-19/Somalia/CV1159/2020	EPI_ISL_2107094		National Institute of Health (NIH) - Federal Government of Somalia	African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer’s University	Olawoye et al
hCoV-19/Nigeria/ED06-CV159/2020	EPI_ISL_527877		Nigeria Centre for Disease Control (NCDC)	African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria	Oluniyi P.E. et al A
hCoV-19/Uganda/UG150/2020	EPI_ISL_954253		MRC/UVRI & LSHTM Uganda Research Unit	Where sequence data have been generated and submitted to GISAID	Matthew Cotten et al
hCoV-19/Iran/GRC-T10709/2020	EPI_ISL_2716836		Kariminejad-Najmabadi Pathology & Genetics Center, Tehran, Iran	Genetics Research Center, University of Social Welfare and Rehabilitation Sciences	Zohreh Fattahi et al
hCoV-19/DRC/ILRI_COVM00373/2020	EPI_ISL_12257157		Molecular Biology laboratory, Université Evangélique en Afrique	International Livestock Research Institute	Samuel O. Oyola et al
hCoV-19/Uganda/UG017/2020	EPI_ISL_451199		Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Dan Lule Bugembe et al (https://dx.doi.org/10.3201/eid2610.202575)
hCoV-19/DRC/04186/2020	EPI_ISL_471411		Viral Respiratory Lab, National Institute for Biomedical Research (INRB)	Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al A
hCoV-19/SouthSudan/UG578/2020	EPI_ISL_2928025		South Sudan Ministry of Health, WHO South Sudan, MRC/UVRI & LSHTM Uganda Research Unit	MRC/UVRI & LSHTM Uganda Research Unit, South Sudan Ministry of Health, WHO South Sudan	Joseph Francis Wamala et al
hCoV-19/Sudan/N6669/2020	EPI_ISL_4739598		National Public Health Laboratory (NPHL)	National Institute for Communicable Diseases of the National Health Laboratory Service	Elham Rizgalla et al
hCoV-19/Sudan/SS1708/2020	EPI_ISL_14620348		Port Sudan RT PCR lab	KEMRI-Wellcome Trust Research Programme,Kilifi	Githinji G. et al
hCoV-19/India/OR-ILSCV19358/2020	EPI_ISL_463072		Institute of Life Sciences, Bhubaneswar	Immunogenomics lab, Institute of Life Sciences, Bhubaneswar	Sunil Raghav et al
hCoV-19/Egypt/CCHE57357-A-89/2020	EPI_ISL_812846	MW467481.1	Genomics Program, Children Cancer Hospital	Genomics Program, Children Cancer Hospital	Hatem et al
hCoV-19/Germany/BAV-PL-virotum-nacq/2020	EPI_ISL_582134		Protzer Lab	Protzer Lab	Ulrike Protzer et al
hCoV-19/China/FU-P213-B-2/2020	EPI_ISL_19023693		School of Life Science, Fudan University	School of Life Science, Fudan University	Lv et al
hCoV-19/India/WB-1931800119269/2021	EPI_ISL_1419893		INSACOG-WB	National Institute of Biomedical Genomics – INSACOG	Arindam Maitra et al
hCoV-19/India/DL-ICMR_NIV-770_P-25_7488/2020	EPI_ISL_9397330		Indian Council of Medical Research-National Institute of Virology, Microbial Containment Complex	Indian Council of Medical Research-National Institute of Virology, Microbial Containment Complex	Pragya Yadav et al
hCoV-19/India/DL-ICMR_NIV-777_P-15_7483/2020	EPI_ISL_9388907		Indian Council of Medical Research-National Institute of Virology, Microbial Containment Complex	Indian Council of Medical Research-National Institute of Virology, Microbial Containment Complex	Pragya Yadav et al
hCoV-19/India/DL-ICMR_NIV-777_P-25_7489/2020	EPI_ISL_9388909		Indian Council of Medical Research-National Institute of Virology, Microbial Containment Complex	Indian Council of Medical Research-National Institute of Virology, Microbial Containment Complex	Pragya Yadav et al
hCoV-19/SaudiArabia/KAUST-MAKKAH825/2020	EPI_ISL_678146	OU999652.1	Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST)	Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST)	Sara Mfarrej et al
hCoV-19/India/GJ-GBRC318b/2020	EPI_ISL_495076		Department of MicroBiology, Government Medical College, Surat	Gujarat Biotechnology Research Centre	Nitin Savaliya et al
hCoV-19/mink/Netherlands/NB-EMC-23-4/2020	EPI_ISL_523079		Dutch COVID-19 response team	Erasmus Medical Center	OH consortium et al
hCoV-19/Egypt/CCHE57357-P-22/2020	EPI_ISL_812857	MW467492.1	Genomics Program, Children Cancer Hospital	Genomics Program, Children Cancer Hospital	Hatem et al
